Date,Open,High,Low,Close,Adj Close,Volume
2018-11-12,80.820000,82.339996,80.220001,80.779999,78.712372,32300
2018-11-13,81.029999,81.029999,79.290001,79.669998,77.630783,33900
2018-11-14,79.779999,79.930000,78.879997,79.769997,77.728218,22000
2018-11-15,79.349998,79.919998,78.389999,79.059998,77.036392,36900
2018-11-16,78.769997,80.010002,78.400002,80.010002,77.962090,27300
2018-11-19,80.010002,80.470001,79.230003,79.639999,77.601555,49600
2018-11-20,79.489998,80.680000,78.449997,78.470001,76.461502,27400
2018-11-21,78.680000,80.500000,78.160004,80.139999,78.088753,28400
2018-11-23,80.139999,80.989998,79.550003,80.760002,78.692886,9700
2018-11-26,81.339996,81.339996,80.550003,80.930000,78.858536,23600
2018-11-27,80.430000,81.639999,80.430000,81.470001,79.384712,26800
2018-11-28,81.599998,83.000000,80.830002,82.660004,80.544258,36700
2018-11-29,82.209999,83.459999,82.209999,83.260002,81.128891,27000
2018-11-30,83.419998,83.610001,82.360001,83.449997,81.314026,41500
2018-12-03,84.290001,84.290001,81.699997,83.000000,80.875549,25900
2018-12-04,83.000000,83.000000,80.629997,80.669998,78.605194,25900
2018-12-06,80.610001,81.410004,78.849998,81.000000,78.926743,45700
2018-12-07,80.580002,81.760002,80.139999,80.970001,78.897514,29100
2018-12-10,80.650002,81.830002,78.900002,81.419998,79.335991,53700
2018-12-11,81.449997,81.699997,79.660004,80.480003,78.420052,32800
2018-12-12,81.190002,82.860001,80.349998,81.500000,79.413948,37200
2018-12-13,81.269997,82.610001,79.559998,80.519997,78.459023,31500
2018-12-14,81.330002,81.410004,78.529999,79.699997,77.660011,34600
2018-12-17,79.989998,79.989998,77.709999,78.900002,76.880493,55500
2018-12-18,79.529999,79.529999,77.459999,78.309998,76.305588,45600
2018-12-19,78.419998,78.419998,75.949997,76.239998,74.288582,72100
2018-12-20,75.930000,76.169998,74.320000,75.349998,73.421364,77100
2018-12-21,75.059998,76.660004,74.169998,74.489998,72.583374,109300
2018-12-24,74.489998,76.820000,73.199997,75.110001,73.187500,40300
2018-12-26,75.430000,77.349998,75.010002,77.349998,75.370171,40800
2018-12-27,76.699997,77.669998,75.309998,76.830002,74.863472,25600
2018-12-28,77.050003,78.599998,76.959999,78.000000,76.501396,40000
2018-12-31,78.550003,78.919998,77.800003,78.449997,76.942741,24200
2019-01-02,78.099998,78.720001,76.040001,77.720001,76.226768,26300
2019-01-03,77.470001,77.680000,76.620003,76.779999,75.304825,21100
2019-01-04,77.099998,78.529999,76.529999,77.760002,76.266006,33700
2019-01-07,78.120003,78.800003,77.050003,77.970001,76.471962,34400
2019-01-08,78.680000,78.800003,77.589996,77.849998,76.354271,43700
2019-01-09,78.139999,78.629997,76.540001,76.629997,75.157707,70200
2019-01-10,76.500000,77.449997,76.000000,76.400002,74.932137,20600
2019-01-11,76.129997,76.910004,75.669998,76.400002,74.932137,35800
2019-01-14,76.070000,76.290001,74.769997,75.400002,73.951340,38500
2019-01-15,75.519997,76.989998,73.500000,76.959999,75.481377,20500
2019-01-16,76.980003,77.440002,75.410004,76.000000,74.539810,40500
2019-01-17,76.260002,77.169998,75.900002,76.540001,75.069443,45900
2019-01-18,76.400002,77.379997,74.949997,75.290001,73.843452,47100
2019-01-22,74.169998,75.379997,73.500000,74.750000,73.313835,53300
2019-01-23,75.589996,76.660004,74.989998,76.440002,74.971359,27100
2019-01-24,76.860001,76.870003,75.750000,75.760002,74.304428,20300
2019-01-25,76.639999,77.709999,75.849998,77.529999,76.040421,36900
2019-01-28,77.349998,77.949997,77.040001,77.839996,76.344460,29400
2019-01-29,78.040001,79.019997,78.010002,78.809998,77.295830,35200
2019-01-30,78.500000,79.769997,78.260002,79.470001,77.943153,58200
2019-01-31,79.720001,81.139999,79.720001,80.330002,78.786629,66900
2019-02-01,80.540001,80.570000,78.730003,80.559998,79.012207,35300
2019-02-04,80.480003,81.239998,80.029999,81.199997,79.639915,30400
2019-02-05,81.860001,81.860001,81.089996,81.099998,79.541824,22200
2019-02-06,81.199997,81.440002,80.570000,81.089996,79.532021,15600
2019-02-07,81.000000,82.339996,81.000000,81.690002,80.120491,36400
2019-02-08,82.489998,83.239998,81.650002,82.410004,80.826668,58600
2019-02-11,82.699997,83.570000,82.230003,83.290001,81.689758,40500
2019-02-12,83.400002,84.209999,83.209999,83.750000,82.140915,39300
2019-02-13,83.900002,83.900002,82.059998,83.720001,82.111496,33500
2019-02-14,83.750000,84.000000,83.000000,83.500000,81.895714,31600
2019-02-15,83.690002,84.260002,82.489998,83.879997,82.268417,30800
2019-02-19,85.430000,86.529999,83.099998,84.029999,82.415543,44800
2019-02-20,83.290001,83.690002,81.910004,82.099998,80.522606,50000
2019-02-21,81.940002,83.519997,81.940002,83.519997,81.915329,28500
2019-02-22,82.930000,83.970001,82.699997,83.589996,81.983978,33800
2019-02-25,84.209999,84.209999,82.660004,82.760002,81.169937,41200
2019-02-26,83.110001,83.940002,81.290001,81.910004,80.336273,54300
2019-02-27,81.300003,81.889999,80.050003,80.489998,78.943550,31300
2019-02-28,80.540001,81.690002,80.379997,81.410004,79.845879,32800
2019-03-01,81.550003,81.660004,80.160004,81.059998,79.502594,30300
2019-03-04,80.919998,80.919998,78.470001,78.559998,77.050629,48900
2019-03-05,78.430000,79.459999,78.320000,78.720001,77.207558,26700
2019-03-06,78.500000,79.199997,76.339996,76.690002,75.216560,56000
2019-03-07,76.300003,76.989998,75.500000,76.739998,75.265594,77100
2019-03-08,76.360001,78.730003,75.500000,78.470001,76.962357,39700
2019-03-11,78.379997,79.489998,77.660004,79.489998,77.962761,43600
2019-03-12,80.250000,80.290001,79.050003,79.320000,77.796028,40800
2019-03-13,79.730003,81.339996,79.419998,80.680000,79.129906,57000
2019-03-14,80.059998,82.190002,80.059998,80.800003,79.247597,56100
2019-03-15,80.650002,81.870003,79.099998,79.480003,77.952957,223000
2019-03-18,79.589996,81.529999,79.589996,81.529999,79.963570,58200
2019-03-19,81.529999,81.839996,79.699997,80.239998,78.698349,24300
2019-03-20,80.330002,80.559998,78.779999,79.080002,77.560646,35400
2019-03-21,78.849998,80.480003,78.849998,79.290001,77.766609,17500
2019-03-22,79.330002,79.419998,77.300003,78.620003,77.109482,49600
2019-03-25,78.449997,78.540001,77.320000,77.879997,76.383698,20800
2019-03-26,78.169998,78.610001,76.589996,78.050003,76.550430,26100
2019-03-27,77.980003,77.980003,76.449997,77.610001,76.118881,42300
2019-03-28,76.279999,76.959999,75.870003,76.620003,75.635185,34600
2019-03-29,76.360001,77.339996,75.570000,75.879997,74.904694,52800
2019-04-01,75.690002,76.570000,75.169998,75.370003,74.401253,32700
2019-04-02,75.000000,75.080002,74.209999,74.440002,73.483208,28000
2019-04-03,74.739998,74.879997,73.169998,74.120003,73.167320,41400
2019-04-04,73.720001,74.519997,73.120003,74.220001,73.266029,30400
2019-04-05,74.440002,75.059998,74.260002,74.879997,73.917542,40800
2019-04-08,75.000000,75.000000,73.930000,74.180000,73.226547,33800
2019-04-09,73.629997,74.080002,72.809998,73.080002,72.140686,35800
2019-04-10,73.250000,74.900002,73.080002,74.830002,73.868195,34900
2019-04-11,74.629997,74.989998,73.830002,73.830002,72.881050,24400
2019-04-12,74.019997,74.610001,73.620003,73.620003,72.673744,21800
2019-04-15,73.680000,74.889999,73.300003,73.860001,72.910660,26700
2019-04-16,73.919998,74.199997,72.419998,73.029999,72.091324,44700
2019-04-17,73.029999,73.029999,70.889999,72.230003,71.301613,48700
2019-04-18,71.860001,72.989998,71.519997,72.779999,71.844543,27100
2019-04-22,72.120003,73.220001,71.120003,71.680000,70.758675,26600
2019-04-23,71.839996,73.849998,71.839996,72.480003,71.548401,85200
2019-04-24,72.480003,74.849998,72.480003,74.199997,73.246284,53400
2019-04-25,74.080002,74.199997,72.809998,72.860001,71.923515,34500
2019-04-26,73.190002,75.400002,73.190002,74.989998,74.026131,33100
2019-04-29,74.860001,75.410004,74.279999,74.830002,73.868195,21900
2019-04-30,74.830002,75.430000,74.290001,75.430000,74.460480,41500
2019-05-01,75.449997,75.519997,74.410004,74.470001,73.512817,21100
