Date,Open,High,Low,Close,Adj Close,Volume
2018-11-12,8.210000,8.310000,7.810000,7.810000,7.810000,135900
2018-11-13,7.870000,7.920000,7.430000,7.510000,7.510000,213700
2018-11-14,7.590000,7.980000,7.350000,7.910000,7.910000,297900
2018-11-15,7.820000,8.230000,7.770000,8.170000,8.170000,148700
2018-11-16,8.130000,8.240000,7.880000,8.120000,8.120000,130800
2018-11-19,8.080000,8.180000,7.780000,7.820000,7.820000,118800
2018-11-20,7.750000,7.830000,7.400000,7.760000,7.760000,307200
2018-11-21,7.790000,8.390000,7.750000,8.140000,8.140000,131300
2018-11-23,8.080000,8.380000,8.060000,8.170000,8.170000,63100
2018-11-26,8.260000,8.550000,8.260000,8.360000,8.360000,113900
2018-11-27,8.290000,8.320000,8.040000,8.140000,8.140000,117500
2018-11-28,8.200000,8.470000,8.130000,8.340000,8.340000,222900
2018-11-29,8.530000,9.640000,8.530000,9.200000,9.200000,1387100
2018-11-30,9.130000,9.250000,8.880000,9.000000,9.000000,436700
2018-12-03,9.100000,9.370000,8.890000,9.300000,9.300000,250200
2018-12-04,9.200000,9.370000,8.720000,8.780000,8.780000,242000
2018-12-06,8.600000,8.740000,8.370000,8.460000,8.460000,236000
2018-12-07,8.430000,8.640000,8.370000,8.600000,8.600000,123000
2018-12-10,8.590000,8.630000,8.140000,8.500000,8.500000,123600
2018-12-11,8.670000,8.880000,8.340000,8.440000,8.440000,156000
2018-12-12,8.550000,8.680000,8.250000,8.280000,8.280000,187700
2018-12-13,8.330000,8.350000,7.860000,8.080000,8.080000,248200
2018-12-14,7.990000,8.010000,7.800000,7.850000,7.850000,334700
2018-12-17,7.770000,8.020000,7.290000,7.460000,7.460000,338900
2018-12-18,7.750000,7.750000,7.160000,7.450000,7.450000,258400
2018-12-19,7.490000,7.500000,7.080000,7.120000,7.120000,330500
2018-12-20,7.140000,7.280000,6.880000,6.940000,6.940000,423900
2018-12-21,6.970000,7.000000,6.500000,6.670000,6.670000,539300
2018-12-24,6.690000,6.690000,6.230000,6.490000,6.490000,240200
2018-12-26,6.520000,7.030000,6.290000,7.000000,7.000000,538600
2018-12-27,6.870000,6.950000,6.240000,6.540000,6.540000,624500
2018-12-28,6.500000,6.930000,6.460000,6.760000,6.760000,243400
2018-12-31,6.810000,7.140000,6.760000,6.800000,6.800000,431600
2019-01-02,6.690000,7.210000,6.570000,7.110000,7.110000,170200
2019-01-03,7.000000,7.120000,6.790000,6.960000,6.960000,147200
2019-01-04,7.000000,7.310000,6.970000,7.200000,7.200000,291800
2019-01-07,7.220000,7.480000,7.070000,7.460000,7.460000,150100
2019-01-08,7.590000,7.880000,7.400000,7.570000,7.570000,210800
2019-01-09,7.530000,7.780000,7.530000,7.740000,7.740000,203800
2019-01-10,7.670000,7.730000,7.580000,7.630000,7.630000,109300
2019-01-11,7.570000,7.640000,7.480000,7.640000,7.640000,156900
2019-01-14,7.610000,7.640000,7.480000,7.490000,7.490000,111700
2019-01-15,7.500000,7.930000,7.500000,7.850000,7.850000,64700
2019-01-16,7.880000,7.920000,7.810000,7.890000,7.890000,119300
2019-01-17,7.850000,7.930000,7.850000,7.880000,7.880000,147100
2019-01-18,7.950000,8.250000,7.750000,8.040000,8.040000,380300
2019-01-22,8.040000,8.140000,7.270000,7.380000,7.380000,209700
2019-01-23,7.410000,7.640000,7.310000,7.330000,7.330000,143200
2019-01-24,7.310000,7.450000,7.200000,7.270000,7.270000,102000
2019-01-25,7.270000,7.360000,7.270000,7.350000,7.350000,139800
2019-01-28,7.210000,7.450000,7.140000,7.200000,7.200000,112700
2019-01-29,7.200000,7.200000,7.010000,7.120000,7.120000,137500
2019-01-30,7.210000,7.290000,7.030000,7.070000,7.070000,243200
2019-01-31,7.050000,7.080000,6.940000,6.970000,6.970000,154000
2019-02-01,6.950000,6.990000,6.850000,6.900000,6.900000,104300
2019-02-04,6.890000,7.010000,6.820000,6.960000,6.960000,172800
2019-02-05,6.990000,7.090000,6.970000,7.050000,7.050000,157600
2019-02-06,7.050000,7.080000,6.890000,6.980000,6.980000,251600
2019-02-07,6.900000,6.920000,6.580000,6.710000,6.710000,121800
2019-02-08,6.720000,6.720000,6.420000,6.610000,6.610000,187300
2019-02-11,6.620000,6.700000,6.460000,6.630000,6.630000,247800
2019-02-12,6.700000,6.880000,6.660000,6.720000,6.720000,159800
2019-02-13,6.740000,6.900000,6.660000,6.810000,6.810000,100300
2019-02-14,6.720000,6.720000,6.240000,6.290000,6.290000,400800
2019-02-15,6.330000,6.610000,6.290000,6.560000,6.560000,234100
2019-02-19,6.550000,6.670000,6.190000,6.400000,6.400000,168500
2019-02-20,6.410000,6.500000,6.300000,6.330000,6.330000,206500
2019-02-21,6.340000,6.400000,5.880000,5.980000,5.980000,178200
2019-02-22,6.040000,6.180000,5.900000,6.040000,6.040000,154100
2019-02-25,6.070000,6.210000,5.790000,5.850000,5.850000,205500
2019-02-26,5.860000,5.900000,5.750000,5.770000,5.770000,196300
2019-02-27,5.770000,5.770000,5.380000,5.540000,5.540000,304800
2019-02-28,5.100000,5.170000,4.550000,5.000000,5.000000,1015800
2019-03-01,5.050000,5.250000,5.040000,5.060000,5.060000,400100
2019-03-04,5.080000,5.160000,4.540000,4.570000,4.570000,345400
2019-03-05,4.590000,4.630000,4.500000,4.530000,4.530000,176800
2019-03-06,4.520000,4.570000,3.830000,3.890000,3.890000,620000
2019-03-07,3.910000,4.130000,3.820000,4.060000,4.060000,534800
2019-03-08,4.060000,4.280000,4.010000,4.260000,4.260000,429900
2019-03-11,4.350000,4.440000,4.230000,4.310000,4.310000,474700
2019-03-12,4.400000,4.870000,4.390000,4.670000,4.670000,451600
2019-03-13,4.650000,4.710000,4.430000,4.500000,4.500000,339900
2019-03-14,4.500000,4.570000,4.440000,4.450000,4.450000,341900
2019-03-15,4.450000,4.510000,4.390000,4.450000,4.450000,1009500
2019-03-18,4.490000,4.800000,4.490000,4.650000,4.650000,339700
2019-03-19,4.690000,4.980000,4.680000,4.950000,4.950000,406200
2019-03-20,4.900000,4.900000,4.470000,4.490000,4.490000,358900
2019-03-21,4.470000,4.620000,4.280000,4.290000,4.290000,408000
2019-03-22,4.240000,4.270000,4.050000,4.090000,4.090000,359800
2019-03-25,4.090000,4.090000,3.850000,3.920000,3.920000,286200
2019-03-26,3.940000,4.070000,3.890000,4.040000,4.040000,307900
2019-03-27,4.050000,4.070000,3.930000,4.040000,4.040000,292600
2019-03-28,4.050000,4.050000,3.900000,4.000000,4.000000,358300
2019-03-29,4.010000,4.040000,3.910000,3.990000,3.990000,410100
2019-04-01,4.060000,4.100000,3.890000,4.070000,4.070000,280000
2019-04-02,4.080000,4.160000,4.050000,4.120000,4.120000,207300
2019-04-03,4.150000,4.200000,3.860000,3.920000,3.920000,239900
2019-04-04,3.920000,3.990000,3.900000,3.950000,3.950000,179900
2019-04-05,3.950000,4.080000,3.920000,3.960000,3.960000,119600
2019-04-08,3.940000,4.000000,3.900000,3.960000,3.960000,211900
2019-04-09,3.930000,4.000000,3.850000,3.920000,3.920000,200800
2019-04-10,3.930000,4.130000,3.930000,4.090000,4.090000,192200
2019-04-11,4.090000,4.270000,4.030000,4.050000,4.050000,187400
2019-04-12,4.090000,4.180000,4.050000,4.060000,4.060000,104500
2019-04-15,4.060000,4.120000,3.950000,4.030000,4.030000,92200
2019-04-16,4.050000,4.110000,3.880000,3.950000,3.950000,219400
2019-04-17,3.960000,4.020000,3.870000,3.950000,3.950000,233500
2019-04-18,3.950000,4.060000,3.880000,3.960000,3.960000,166600
2019-04-22,3.980000,4.100000,3.870000,3.930000,3.930000,313800
2019-04-23,3.950000,4.090000,3.940000,4.040000,4.040000,844200
2019-04-24,4.010000,4.120000,4.010000,4.020000,4.020000,128400
2019-04-25,4.010000,4.320000,3.950000,4.270000,4.270000,193700
2019-04-26,4.250000,4.380000,4.210000,4.250000,4.250000,203800
2019-04-29,4.220000,4.360000,4.220000,4.340000,4.340000,316600
2019-04-30,4.350000,4.380000,4.030000,4.200000,4.200000,292700
2019-05-01,4.200000,4.240000,3.900000,3.950000,3.950000,390300
2019-05-02,3.950000,4.050000,3.880000,3.910000,3.910000,143000
2019-05-03,3.950000,4.170000,3.900000,4.120000,4.120000,165100
2019-05-06,4.030000,4.300000,4.030000,4.240000,4.240000,234900
2019-05-07,4.170000,4.300000,4.170000,4.290000,4.290000,134400
2019-05-08,4.300000,4.370000,4.260000,4.330000,4.330000,251500
2019-05-09,4.130000,4.310000,4.130000,4.230000,4.230000,138200
2019-05-10,4.220000,4.270000,4.010000,4.040000,4.040000,110400
2019-05-13,3.910000,3.990000,3.860000,3.860000,3.860000,194200
2019-05-14,3.900000,3.960000,3.720000,3.760000,3.760000,306900
2019-05-15,3.760000,3.930000,3.700000,3.860000,3.860000,350100
2019-05-16,3.840000,4.100000,3.840000,4.040000,4.040000,177900
2019-05-17,4.000000,4.160000,3.910000,4.080000,4.080000,271100
2019-05-20,4.160000,4.160000,3.950000,4.010000,4.010000,178500
2019-05-21,4.030000,4.250000,4.010000,4.220000,4.220000,120100
2019-05-22,4.150000,4.250000,3.990000,4.040000,4.040000,125900
2019-05-23,3.980000,3.980000,3.750000,3.810000,3.810000,114600
2019-05-24,3.830000,3.840000,3.730000,3.770000,3.770000,112600
2019-05-28,3.740000,3.800000,3.620000,3.630000,3.630000,494900
2019-05-29,3.600000,3.660000,3.480000,3.570000,3.570000,440200
2019-05-30,3.550000,3.640000,3.540000,3.600000,3.600000,180700
2019-05-31,3.550000,4.470000,3.550000,4.190000,4.190000,1191700
2019-06-03,4.140000,4.550000,4.140000,4.530000,4.530000,407600
2019-06-04,4.610000,4.860000,4.460000,4.800000,4.800000,706100
2019-06-05,4.820000,5.010000,4.680000,5.000000,5.000000,283600
2019-06-06,5.080000,5.290000,4.610000,4.660000,4.660000,347300
2019-06-07,4.680000,4.850000,4.570000,4.600000,4.600000,248400
2019-06-10,4.600000,4.840000,4.590000,4.710000,4.710000,227200
2019-06-11,4.740000,4.750000,4.570000,4.660000,4.660000,194200
2019-06-12,4.620000,4.700000,4.330000,4.410000,4.410000,301200
2019-06-13,4.450000,4.590000,4.350000,4.560000,4.560000,185900
2019-06-14,4.570000,4.590000,4.280000,4.410000,4.410000,194100
2019-06-17,4.420000,4.780000,4.350000,4.750000,4.750000,391200
2019-06-18,4.770000,4.820000,4.520000,4.530000,4.530000,312400
2019-06-19,4.560000,4.560000,4.350000,4.420000,4.420000,268000
2019-06-20,4.490000,4.490000,4.220000,4.260000,4.260000,371300
2019-06-21,4.220000,4.340000,4.160000,4.310000,4.310000,573700
2019-06-24,4.300000,4.430000,4.240000,4.350000,4.350000,237500
2019-06-25,4.390000,4.980000,4.370000,4.860000,4.860000,385300
2019-06-26,4.870000,4.870000,4.420000,4.420000,4.420000,357700
2019-06-27,4.450000,4.580000,4.250000,4.510000,4.510000,333300
2019-06-28,4.540000,5.090000,4.510000,5.030000,5.030000,3563700
2019-07-01,5.050000,5.430000,4.860000,5.010000,5.010000,490300
2019-07-02,5.000000,5.190000,4.930000,5.010000,5.010000,299400
2019-07-03,5.000000,5.170000,4.910000,5.100000,5.100000,162600
2019-07-05,5.090000,5.300000,5.090000,5.300000,5.300000,186300
2019-07-08,5.260000,5.470000,5.250000,5.460000,5.460000,237100
2019-07-09,5.480000,5.570000,5.200000,5.280000,5.280000,372500
2019-07-10,5.290000,5.410000,5.080000,5.120000,5.120000,154200
2019-07-11,5.100000,5.440000,5.100000,5.380000,5.380000,364900
2019-07-12,5.390000,5.560000,5.240000,5.340000,5.340000,408200
2019-07-15,5.390000,5.430000,5.170000,5.380000,5.380000,233200
2019-07-16,5.380000,5.440000,5.260000,5.340000,5.340000,134200
2019-07-17,5.290000,5.450000,5.220000,5.330000,5.330000,131900
2019-07-18,5.290000,5.290000,4.900000,4.930000,4.930000,172300
2019-07-19,4.920000,4.920000,4.730000,4.730000,4.730000,131100
2019-07-22,4.730000,4.830000,4.610000,4.650000,4.650000,175000
2019-07-23,4.650000,4.780000,4.560000,4.750000,4.750000,143400
2019-07-24,4.730000,5.040000,4.720000,5.000000,5.000000,119900
2019-07-25,5.000000,5.210000,4.970000,5.160000,5.160000,138200
2019-07-26,5.170000,5.440000,5.170000,5.390000,5.390000,219300
2019-07-29,5.280000,5.550000,5.190000,5.350000,5.350000,169500
2019-07-30,5.300000,5.630000,5.220000,5.580000,5.580000,212500
2019-07-31,5.580000,5.640000,5.260000,5.340000,5.340000,188500
2019-08-01,5.330000,5.420000,5.220000,5.250000,5.250000,134700
2019-08-02,5.200000,5.330000,5.050000,5.270000,5.270000,144800
2019-08-05,5.140000,5.190000,4.910000,4.940000,4.940000,121900
2019-08-06,5.000000,5.120000,4.870000,4.900000,4.900000,111700
2019-08-07,4.830000,5.400000,4.810000,5.360000,5.360000,125500
2019-08-08,5.500000,5.500000,4.930000,4.950000,4.950000,238900
2019-08-09,4.930000,4.990000,4.360000,4.400000,4.400000,274600
2019-08-12,4.450000,4.470000,4.380000,4.390000,4.390000,76300
2019-08-13,4.360000,4.420000,4.130000,4.390000,4.390000,143100
2019-08-14,4.310000,4.330000,4.140000,4.290000,4.290000,80300
2019-08-15,4.270000,4.320000,4.130000,4.190000,4.190000,307100
2019-08-16,4.250000,4.320000,4.060000,4.070000,4.070000,215100
2019-08-19,4.160000,4.180000,3.940000,3.970000,3.970000,115500
2019-08-20,3.990000,4.050000,3.970000,3.980000,3.980000,256000
2019-08-21,4.000000,4.110000,3.980000,4.010000,4.010000,134100
2019-08-22,4.000000,4.040000,3.950000,4.020000,4.020000,252100
2019-08-23,4.050000,4.180000,3.950000,3.950000,3.950000,240600
2019-08-26,4.020000,4.720000,4.000000,4.550000,4.550000,346000
2019-08-27,4.550000,4.640000,4.270000,4.360000,4.360000,181500
